"hap","population","a","b","c","d","p","odds","padj"
"R1a1a1","AESP",108,177,16273,NA,5.9255202393851e-94,26.4373555233267,9.386024059186e-91
"O1a1a1","Han_noNWC",453,4322,11760,NA,5.96815812880864e-56,3.0967094891835,4.72678123801644e-53
"N1a1a1","AESP",54,231,16512,NA,1.48758491387041e-51,28.3536391430696,7.85444834523577e-49
"O2a2b1","AESP",0,285,12123,NA,1.993476989305e-39,0,7.89416887764781e-37
"R1a1a1","Han_noNWC",37,4738,11712,NA,5.57059919519775e-30,0.205070935365291,1.76476582503865e-27
"O1a1a1","Han_NWCM",393,10510,5572,NA,1.11130378986163e-28,0.454936861459609,2.93384200523469e-26
"L1a2","ASAF",15,101,16808,NA,1.66901564596356e-27,275.530213435506,3.77674397600897e-25
"R1a1a1","ANWC",38,99,16351,NA,3.6186945225614e-27,14.0949696161667,7.16501515467157e-25
"C2b1","ASEA",16,135,16766,NA,3.76627536377453e-25,123.745598895609,6.62864464024317e-23
"R1b1a1","AESP",25,260,16565,NA,9.71094185321366e-22,19.1752080103067,1.53821318954904e-19
"Q1b1a3","AEES",17,150,16723,NA,9.24836268697954e-21,44.0005067127597,1.33176422692505e-18
"D1a1b1","Han_noNWC",3,4772,11991,NA,2.62919951811108e-20,0.0451433000183917,3.47054336390663e-18
"R1b1a1","ANWC",18,119,16706,NA,5.27957051610619e-19,28.0510777873841,6.43295361347092e-17
"O2a1b1","AESP",0,285,14348,NA,1.25619364007833e-18,0,1.42129337563149e-16
"O2a2b1","AEES",3,164,12244,NA,1.50350004308727e-18,0.0495339422379701,1.58769604550016e-16
"O2b1a","Han_NWCM",88,10815,6030,NA,1.79148526803395e-17,Inf,1.77357041535362e-15
"N1a","Han_NWCM",0,10903,5995,NA,1.89563503312986e-16,0,1.76628581910453e-14
"O2a2b1","ASAF",0,116,12292,NA,2.45133712426483e-16,0,2.15717666935305e-14
"D1a1a1","Han_noNWC",58,4717,11756,NA,6.13519063879935e-16,0.359606698510772,5.11481156413588e-14
"R2a2b1","ASAF",10,106,16801,NA,7.42464948273192e-16,98.6638250259284,5.88032239032368e-14
"N1b1b","ANEA",18,381,16491,NA,1.7801845837923e-15,18.1071113411445,1.34276780034619e-13
"N1b","Han_NWCM",0,10903,5998,NA,4.24241064812398e-15,0,3.05453566664926e-13
"D1a1b1","Han_NWCM",154,10749,6014,NA,5.21224544529438e-15,5.38561853699649,3.58965077623752e-13
"N1a","Han_noNWC",32,4743,12155,NA,5.98952261896715e-15,27.3313178756376,3.95308492851832e-13
"N1b","Han_noNWC",30,4745,12156,NA,7.92320069734149e-15,38.4206366192649,5.02013996183557e-13
"C2a1a1","AEES",19,148,16601,NA,2.27348897015724e-14,12.9105849372786,1.38507943412656e-12
"N1a1a1","Han_noNWC",12,4763,11980,NA,2.9877333860173e-14,0.169571653918548,1.75280358646348e-12
"D1a1a1","Han_NWCM",370,10533,5940,NA,3.40214990217383e-14,2.31832339029115,1.9246448018012e-12
"O2b1a","Han_noNWC",0,4775,12070,NA,3.98158278146199e-13,0,2.17476797442613e-11
"R1a1a1","AEES",26,141,16309,NA,1.66970823861433e-12,6.57875916453139,8.81605949988367e-11
"O1a","ANEA",10,389,16526,NA,1.74537171957107e-12,53.0311126320709,8.91828646387282e-11
"C2b1b","ASEA",8,143,16771,NA,2.30768270987424e-12,85.0582367819384,1.14230294138775e-10
"C2b1b1","ASEA",22,129,16418,NA,4.32188200497107e-12,7.69052105508926,2.07450336238611e-10
"E1b1b1","ASAF",9,107,16783,NA,1.12513945520216e-11,41.4259375899587,5.24182616776536e-10
"N1b2","ANEA",26,373,16338,NA,1.70129862043515e-11,5.80897980605712,7.69959147076935e-10
"Q1b1b","ANWC",6,131,16793,NA,2.06877597979107e-11,255.234146309658,9.1026143110807e-10
"N1a2a","AEES",9,158,16739,NA,5.32607588541524e-11,35.2647135988811,2.28013627094534e-09
"H1a1a4","ASAF",5,111,16816,NA,8.25497429387926e-11,753.175137602097,3.44102086355388e-09
"O2b1a1","Han_noNWC",26,4749,12153,NA,1.70252150069964e-10,13.3000240683019,6.91485655668777e-09
"R1b2b2","ANWC",5,132,16795,NA,1.9206869718422e-10,632.973516328723,7.6059204084951e-09
"J2a1a1","ASAF",10,106,16744,NA,2.45508845660051e-10,21.606115228505,9.48502467135417e-09
"O1b1a1","ASEA",28,123,16020,NA,3.30758247660259e-10,4.78511474553328,1.24743110546155e-08
"N1b1a1","Han_NWCM",0,10903,6009,NA,3.74539686961263e-10,0,1.37969968406195e-08
"N1b2a1","Han_NWCM",129,10774,6010,NA,1.42848090666994e-09,3.59775167773604,5.1425312640118e-08
"O1a1a1","ANEA",0,399,15683,NA,1.69832630906837e-09,0,5.80148479979183e-08
"No","ASAF",5,111,16813,NA,1.70528766815015e-09,188.319854719531,5.80148479979183e-08
"N1b1","ANEA",12,387,16495,NA,1.72140016155439e-09,13.1063334949411,5.80148479979183e-08
"C2b1","ANEA",10,389,16512,NA,1.91563253122421e-09,19.280512100288,6.32158735303991e-08
"K2b2a","ANEA",7,392,16529,NA,2.73856306015668e-09,58.8946112065196,8.85282425977179e-08
"C1b1a2","ASEA",7,144,16762,NA,2.98211318767424e-09,40.6241313593142,9.44733457855198e-08
"O2a1b1","ANWC",0,137,14496,NA,3.66944643211397e-09,0,1.13968689185658e-07
"Q1b","AESP",6,279,16644,NA,4.28109888190816e-09,89.272056443041,1.30408858248895e-07
"O2a2","Han_noNWC",17,4758,12157,NA,5.83921525869498e-09,43.4278182110039,1.74515414524016e-07
"R1b1a1","Han_NWCM",40,10863,5962,NA,7.48925472840398e-09,0.32286715051999,2.19684805366517e-07
"O2a2","Han_NWCM",0,10903,6012,NA,8.34442947628137e-09,0,2.40319568916904e-07
"O1a1a2","Han_noNWC",116,4659,12015,NA,1.17052212416901e-08,2.09191160402399,3.31090543693521e-07
"O2a1b1","Han_NWCM",1600,9303,5330,NA,1.85358419137072e-08,1.30954105072579,5.10522274873789e-07
"C2b1","Han_NWCM",5,10898,6003,NA,1.86933661254291e-08,0.102044673863532,5.10522274873789e-07
"O2b","Han_noNWC",16,4759,12157,NA,1.96271930142308e-08,40.8647313994761,5.23608425733761e-07
"O1a1a","Han_noNWC",14,4761,12158,NA,1.98336524899152e-08,Inf,5.23608425733761e-07
"R2a","ASAF",4,112,16815,NA,3.10341362582266e-08,297.323194221999,8.05870030049688e-07
"N1a3","Han_noNWC",0,4775,12105,NA,3.40996865411796e-08,0,8.71191991632717e-07
"O2b1a1","Han_NWCM",5,10898,6004,NA,4.45727496336834e-08,0.105990511185462,1.12068627650404e-06
"O2a2b1","ANWC",11,126,12282,NA,5.22315222957733e-08,0.237540450301774,1.29273017682039e-06
"N1b1a1","Han_noNWC",18,4757,12155,NA,6.53039235203812e-08,15.3323986879822,1.59140638240437e-06
"N1a1a","AESP",5,280,16645,NA,7.00813912353827e-08,98.6790533276611,1.66289047516177e-06
"O2a1b1","ASAF",0,116,14517,NA,7.03369077246456e-08,0,1.66289047516177e-06
"O2a1b1","ANEA",21,378,14255,NA,7.31090172437541e-08,0.347510436625957,1.70301004873686e-06
"N1b2a","Han_NWCM",38,10865,6030,NA,1.10318838038888e-07,Inf,2.53253680367534e-06
"R1b1a1","AEES",10,157,16668,NA,1.12075871188002e-07,10.8262171974875,2.53611685659706e-06
"Q1b1a3","Han_noNWC",1,4774,12099,NA,1.19622539210494e-07,0.0429584424449977,2.66876200154116e-06
"J2a2a1","AEES",4,163,16764,NA,1.34817530359817e-07,204.755743661898,2.96598566791597e-06
"Q1a1a1","Han_NWCM",393,10510,5899,NA,1.46262480659819e-07,1.68377598722641,3.17369547075553e-06
"O2a1b1","AEES",3,164,14469,NA,1.53741225881795e-07,0.115234070784276,3.29089326752383e-06
"O1a3a","Han_NWCM",0,10903,6015,NA,1.85727595254099e-07,0,3.92256681176657e-06
"O1a3a","Han_noNWC",14,4761,12157,NA,2.19368238317295e-07,35.7418196100368,4.57209591440257e-06
"R1","ANWC",4,133,16792,NA,2.7994011629494e-07,125.227875276688,5.70021258115183e-06
"O1a","Han_NWCM",1,10902,6013,NA,2.80692286193082e-07,0.0324490093502395,5.70021258115183e-06
"J1b","ASAF",3,113,16817,NA,3.13282332075649e-07,Inf,6.20299017509784e-06
"R2b","ASAF",3,113,16817,NA,3.13282332075649e-07,Inf,6.20299017509784e-06
"F","ANEA",6,393,16526,NA,4.21915262490896e-07,31.4986720779307,8.25078735537753e-06
"O1a1a","Han_NWCM",0,10903,6016,NA,5.22327989379006e-07,0,9.9371381778844e-06
"F","Han_NWCM",0,10903,6016,NA,5.22327989379006e-07,0,9.9371381778844e-06
"O1a3a1","Han_NWCM",34,10869,6030,NA,5.26969448827203e-07,Inf,9.9371381778844e-06
"O1a1a1","AESP",0,285,15797,NA,7.02995854066414e-07,0,1.31005345040141e-05
"O2b","Han_NWCM",1,10902,6014,NA,7.46968361247139e-07,0.0344827602261786,1.3758114932738e-05
