"hap","population","a","b","c","d","p","odds","padj"
"R1a1a","AESP",110,175,16270,NA,2.78576899529468e-96,27.0498660634356,3.2983504904289e-93
"O1a1a","Han_noNWC",583,4192,11617,NA,4.07086287837948e-67,2.98614718228392,2.40995082400065e-64
"N1a1a","AESP",59,226,16410,NA,1.83896230497725e-46,17.9879146656886,7.25777123031021e-44
"O2a2b","AESP",0,285,11596,NA,6.81155142011961e-45,0,2.0162192203554e-42
"O1a1a","Han_NWCM",532,10371,5438,NA,1.32718552983212e-33,0.471218012594998,3.14277533464245e-31
"R1a1a","Han_noNWC",37,4738,11707,NA,1.65145332190524e-30,0.202711108602005,3.25886788855967e-28
"R1a1a","ANWC",39,98,16347,NA,3.67918204484242e-28,14.4791092996162,6.22307363013346e-26
"L1a2","ASAF",15,101,16808,NA,1.66901564596356e-27,275.530213435506,2.47014315602607e-25
"C2b1","ASEA",16,135,16766,NA,3.76627536377453e-25,123.745598895609,4.9547444785656e-23
"R1b1a","AESP",26,259,16561,NA,1.7108346342561e-22,19.0942680422969,2.02562820695922e-20
"Q1b1a","AEES",17,150,16722,NA,1.2714081063597e-20,42.991101029753,1.36849745266353e-18
"D1a1b","Han_noNWC",3,4772,11991,NA,2.62919951811108e-20,0.0451433000183917,2.39870430384229e-18
"O2a2b","AEES",4,163,11718,NA,2.63371249577279e-20,0.0569691210500358,2.39870430384229e-18
"C2a1a","AEES",29,138,16467,NA,1.37403430000506e-19,11.5674905521582,1.16204043657571e-17
"O2a1b","AESP",0,285,14248,NA,1.82288634685246e-19,0,1.43886495644888e-17
"R1b1a","ANWC",18,119,16701,NA,1.23680980385604e-18,26.5494967518905,9.15239254853467e-17
"C2b1b","ASEA",30,121,16380,NA,1.3936601727549e-18,10.0980025340076,9.70643320318707e-17
"O2a2b","ASAF",0,116,11765,NA,1.78869760641833e-18,0,1.17656553666628e-16
"R2a2b","ASAF",11,105,16799,NA,2.99499851945292e-17,97.3695289223312,1.86635697212224e-15
"N1a","Han_NWCM",0,10903,5995,NA,1.89563503312986e-16,0,1.12221593961288e-14
"D1a1a","Han_noNWC",58,4717,11756,NA,6.13519063879935e-16,0.359606698510772,3.45907891254211e-14
"N1b","Han_NWCM",0,10903,5998,NA,4.24241064812398e-15,0,2.28318827608127e-13
"D1a1b","Han_NWCM",154,10749,6014,NA,5.21224544529438e-15,5.38561853699649,2.68317330749067e-13
"N1a","Han_noNWC",32,4743,12155,NA,5.98952261896715e-15,27.3313178756376,2.95483115869046e-13
"N1b","Han_noNWC",30,4745,12156,NA,7.92320069734149e-15,38.4206366192649,3.75242785026093e-13
"N1b2a","Han_NWCM",167,10736,6010,NA,9.33089745739539e-15,4.67368073225704,4.24914714982928e-13
"J2a1a","ASAF",13,103,16743,NA,2.46000842584861e-14,28.5277441026643,1.07875925044621e-12
"D1a1a","Han_NWCM",370,10533,5940,NA,3.40214990217383e-14,2.31832339029115,1.43862338720493e-12
"N1b1b","ANEA",18,381,16479,NA,5.7593814019664e-14,14.142289317091,2.3514164068718e-12
"Q1b1b","ANWC",7,130,16793,NA,2.28661192405021e-13,299.503302645364,9.02449506025149e-12
"R1a1a","AEES",27,140,16305,NA,3.09778946759162e-13,6.81883111281925,1.18315571923499e-11
