ID	Haplogroup
1000753	C5a1
1002448	D4c1
111-1414-1183	A+152+16362
111-1414-2845	A14
111-1439-3919	B4b1a2
111-1687-1750	B5a1c1a1
111-1692-1400	C5a1
111-1728-0247	M7c1
111-1733-1918	G2a1
111-1756-3920	A15a
111-1770-9816	A15a
111-1792-2017	A+152+16362+200
111-1842-8488	D4b2b2
111-1843-5561	F1a1
111-1843-8425	R9b1a3
111-1845-4500	D4b2b2
111-1850-9484	F1c1a2
111-1855-6518	H27a
111-1864-2419	C7a
111-1864-9081	M3a2
111-1883-5255	D6a1a
111-1890-6153	D4o
111-1894-3943	D4g2a1
111-1894-4872	M12a1a1
111-1896-1176	M12a1a1
111-1896-8243	A5b1b
111-1897-8990	F2c1
111-1899-1883	F1b1+@152
111-1899-5690	R11
111-1899-9094	D4i
111-1901-1252	M7b1a1a1c
111-1901-3232	B5b
111-1901-3508	R+16189
111-1901-4338	R
111-1901-4871	H2b
111-1901-6530	D4b2b2
111-1901-9296	R9b1a2b
111-1902-0322	D4a3b
111-1902-1565	M61a
111-1902-4818	B4c1b2
111-1902-6393	M10a1b
111-1902-7390	D4j3
111-1902-7581	R+16189
111-1902-9370	D5b1b
111-1903-0062	R9b1a3
111-1903-1281	H15b1
111-1903-2738	Z3
111-1903-4107	N11a1
111-1903-5364	G2a1+16189
111-1903-6088	M7b1a1h
111-1903-7993	N9a10
111-1903-8235	R30
111-1903-9942	R+16189
111-1904-1341	F1a3b
111-1904-1587	B5a2a2
111-1904-1792	G3a2
111-1904-3192	A5b1b
111-1904-3390	N9a5
111-1904-5219	Z4a
111-1904-7466	F4a1a
111-1904-9149	D5a2a+16092
111-1905-0466	G3a2
111-1905-3450	R30
111-1905-4617	M7c2
111-1905-6710	N9a2d
111-1905-7403	F1a1
111-1905-7502	D4
111-1905-7779	M7b1a1f
111-1905-8721	B4a1c1a1
111-1905-8912	A5a1a1
111-1905-9629	B5b2b
111-1906-1424	M7c1b2b
111-1906-2216	M9a4a1
111-1906-2346	A8a
111-1906-2698	D4h1
111-1906-4395	A5a
111-1906-4647	D4b2b
111-1906-5507	M8a3
111-1906-6276	F2d
111-1906-9536	D4a1
111-1907-0099	T2c
111-1907-0907	M9a1a
111-1907-2765	D5a2a1
111-1907-3083	D4e1
111-1907-3618	D4e1a
111-1907-6268	D4j15
111-1907-9641	N9a2
111-1908-2580	D4e1a3
111-1908-5079	D4c2b
111-1908-6175	A18
111-1908-6274	G3a2
111-1908-7264	M7b1a1+(16192)
111-1908-8155	A5b1b
111-1908-8308	C4a1a
111-1908-8544	D5b1d
111-1908-9060	B5a2a2
111-1908-9282	F1d
111-1908-9831	C4a2a1
111-1909-1605	A15a
111-1909-4156	D5b1b
111-1909-4866	N9a2
111-1909-6266	N9a3
111-1909-7201	B4c1b2a
111-1909-8345	D4e3
111-1909-8482	F1a2
111-1909-8499	B4a1c3a
111-1909-9687	F2c1
111-1910-1311	A13
111-1910-2677	B5b1
111-1910-3568	G1a
111-1910-4091	B4b1a2a
111-1910-4510	F2c1
111-1910-6972	B4b1a2a
111-1910-7887	D5c2
111-1911-0412	D4e1a
111-1911-1068	A3
111-1911-1396	D4+195
111-1911-1594	Z4a1
111-1911-2232	M33c
111-1911-2348	D4b2b2
